NP_808918.1	gnl|META|EG10916-MONOMER	7.1e-11	45.7	70	63.5	62.9	39.3
NP_808922.1	gnl|META|PSTS-MONOMER	1.9e-45	33.0	339	179.5	51.9	90.2
NP_808927.1	gnl|META|ARCB-MONOMER	1.7e-35	27.7	390	147.5	50.3	47.3
NP_808928.1	gnl|META|MONOMER-15696	3.6e-56	42.9	294	215.3	63.3	67.4
NP_808942.1	gnl|META|EG10126-MONOMER	2.6e-02	30.8	133	37.7	50.4	11.4
NP_808944.1	gnl|META|G6634-MONOMER	9.2e-02	45.7	35	34.3	60.0	9.9
NP_808954.1	gnl|META|MONOMER-12542	5.2e-01	68.8	16	32.0	87.5	4.0
NP_808956.1	gnl|META|MONOMER-20013	8.9e-03	38.3	60	35.0	56.7	94.8
NP_808957.1	gnl|META|BSU35680-MONOMER	7.4e-19	27.5	309	90.9	46.3	92.0
NP_808957.1	gnl|META|MONOMER-20013	9.6e-19	29.9	214	90.5	45.3	66.2
NP_808959.1	gnl|META|MONOMER-20013	3.2e-22	32.4	213	102.1	51.6	67.4
NP_808960.1	gnl|META|MONOMER-17334	1.4e-08	28.6	126	55.5	53.2	93.9
NP_808960.1	gnl|META|BSU35550-MONOMER	5.4e-08	28.7	108	53.5	53.7	80.2
NP_808963.1	gnl|META|MONOMER-19974	3.0e-23	28.4	285	105.5	47.0	85.1
NP_808963.1	gnl|META|MONOMER-20013	1.6e-21	42.6	122	99.8	61.5	36.8
NP_808964.1	gnl|META|EG11266-MONOMER	1.3e-23	30.7	228	106.7	51.8	66.3
NP_808966.1	gnl|META|MONOMER-17333	3.8e-22	25.1	374	102.1	45.2	98.7
NP_808966.1	gnl|META|MONOMER-19980	1.9e-21	30.9	175	99.8	55.4	46.5
NP_808966.1	gnl|META|BSU35730-MONOMER	3.0e-19	28.8	170	92.4	52.4	45.5
NP_808967.1	gnl|META|MONOMER-20267	3.3e-02	27.6	76	35.8	52.6	20.4
NP_808968.1	gnl|META|MONOMER-20264	3.2e-29	28.2	266	125.6	50.8	71.2
NP_808969.1	gnl|META|MONOMER-19979	1.4e-07	24.5	306	53.5	44.4	82.6
NP_808973.1	gnl|META|G7107-MONOMER	7.5e-09	26.3	186	57.4	45.7	70.1
NP_808974.1	gnl|META|EG11826-MONOMER	2.2e-24	22.4	531	110.5	41.6	65.5
NP_808978.1	gnl|META|MONOMER-12486	1.6e-31	26.7	420	134.4	41.7	49.3
NP_808978.1	gnl|META|HS02389-MONOMER	4.6e-31	26.3	399	132.9	40.9	45.0
NP_808985.1	gnl|META|CYDD-MONOMER	3.7e-10	46.6	58	60.1	75.9	69.9
NP_808985.1	gnl|META|CYDC-MONOMER	6.3e-10	45.9	61	59.3	70.5	73.5
NP_808985.1	gnl|META|EG10613-MONOMER	1.4e-09	40.3	72	58.2	62.5	86.7
NP_808985.1	gnl|META|MACB	1.2e-08	41.1	73	55.1	61.6	85.5
NP_808986.1	gnl|META|EG10613-MONOMER	2.6e-15	21.7	457	79.7	42.0	93.1
NP_809018.1	gnl|META|EG11014-MONOMER	6.5e-68	31.7	600	255.0	50.3	82.4
NP_809019.1	gnl|META|MONOMER-461	3.9e-02	25.8	66	34.3	43.9	44.6
NP_809025.1	gnl|META|MONOMER-21008	2.1e-23	29.1	320	105.9	44.4	99.3
NP_809027.1	gnl|META|BSU25790-MONOMER	3.9e-53	37.2	349	204.9	57.9	97.7
NP_809028.1	gnl|META|MONOMER-10862	2.3e-20	40.3	134	94.7	57.5	93.7
NP_809029.1	gnl|META|ARSA-MONOMER	1.4e-132	45.4	562	469.5	64.8	96.8
NP_809035.1	gnl|META|FABH-MONOMER	3.7e-61	38.3	324	231.5	59.6	95.5
NP_809036.1	gnl|META|MONOMER-263	4.2e-31	42.2	147	130.6	65.3	93.0
NP_809037.1	gnl|META|MONOMER-16338	1.8e-180	52.0	585	628.6	69.6	99.1
NP_809038.1	gnl|META|MONOMER-16339	7.2e-215	61.9	559	743.0	76.4	88.0
NP_809040.1	gnl|META|MONOMER-16472	1.1e-03	24.2	178	42.4	43.8	15.8
NP_809042.1	gnl|META|MANNONDEHYDRAT-MONOMER	6.5e-97	46.9	390	350.5	63.1	96.2
NP_809043.1	gnl|META|MONOMER-19892	1.2e-30	33.2	262	129.8	52.7	96.7
NP_809043.1	gnl|META|MONOMER-19467	1.6e-30	32.3	269	129.4	51.3	97.8
NP_809043.1	gnl|META|MONOMER-15643	1.4e-29	31.7	265	126.3	54.3	97.0
NP_809043.1	gnl|META|MONOMER-15695	3.0e-29	29.6	260	125.2	53.1	94.8
NP_809043.1	gnl|META|7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	5.2e-29	31.2	256	124.4	52.0	94.5
NP_809043.1	gnl|META|MONOMER-19219	8.9e-29	32.0	272	123.6	51.5	99.6
NP_809043.1	gnl|META|MONOMER-18270	5.7e-28	31.8	261	120.9	51.3	96.3
NP_809043.1	gnl|META|MONOMER-19696	9.8e-28	31.7	259	120.2	50.6	94.8
NP_809043.1	gnl|META|GLUCONREDUCT-MONOMER	6.4e-27	31.4	264	117.5	50.4	97.4
