	id_c	id	compartment	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
0	10fthf_c	10fthf	c	10-Formyltetrahydrofolate	10-FORMYL-THF	C00234	cpd00201	MNXM237	10-FORMYL-THF	iML1515	iYO844	iAF692	['META:10-FORMYL-THF']	['C00234']	['cpd00201']	['MNXM237']	['META:10-FORMYL-THF']	['C00234']	['cpd00201']	['MNXM237']	['META:10-FORMYL-THF']	['C00234']	['cpd00201']	['MNXM237']
1	12d3k5m_c	12d3k5m			CPD-85			MNXM163631	CPD-85		iYO844									['MNXM163631']				
2	12dag3p_BS_c	12dag3p_BS						MNXM163072			iYO844									['MNXM163072']				
3	12dgr120_c	12dgr120	c	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)				MNXM4939		iML1515						['MNXM4939']								
4	12dgr120_p	12dgr120	p	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)				MNXM4939		iML1515						['MNXM4939']								
5	12dgr140_c	12dgr140	c	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)				MNXM146479		iML1515						['MNXM146479']								
6	12dgr140_p	12dgr140	p	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)				MNXM146479		iML1515						['MNXM146479']								
7	12dgr141_c	12dgr141	c	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)				MNXM4940		iML1515						['MNXM4940']								
8	12dgr141_p	12dgr141	p	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)				MNXM4940		iML1515						['MNXM4940']								
9	12dgr160_c	12dgr160	c	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	CPD66-34			MNXM3132	CPD66-34	iML1515						['MNXM3132']								
10	12dgr160_p	12dgr160	p	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	CPD66-34			MNXM3132	CPD66-34	iML1515						['MNXM3132']								
11	12dgr161_c	12dgr161	c	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)				MNXM3774		iML1515						['MNXM3774']								
12	12dgr161_p	12dgr161	p	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)				MNXM3774		iML1515						['MNXM3774']								
13	12dgr180_c	12dgr180	c	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)				MNXM4217		iML1515						['MNXM4217']								
14	12dgr180_p	12dgr180	p	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)				MNXM4217		iML1515						['MNXM4217']								
15	12dgr181_c	12dgr181	c	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)				MNXM3775		iML1515						['MNXM3775']								
16	12dgr181_p	12dgr181	p	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)				MNXM3775		iML1515						['MNXM3775']								
17	12dgr_BS_c	12dgr_BS						MNXM162881			iYO844									['MNXM162881']				
18	12ppd__R_c	12ppd__R	c	(R)-Propane-1,2-diol	CPD-8891	C02912	cpd01861	MNXM90191	CPD-8891	iML1515			['META:CPD-8891']	['C02912']	['cpd01861']	['MNXM90191']								
19	12ppd__R_e	12ppd__R	e	(R)-Propane-1,2-diol	CPD-8891	C02912	cpd01861	MNXM90191	CPD-8891	iML1515			['META:CPD-8891']	['C02912']	['cpd01861']	['MNXM90191']								
20	12ppd__R_p	12ppd__R	p	(R)-Propane-1,2-diol	CPD-8891	C02912	cpd01861	MNXM90191	CPD-8891	iML1515			['META:CPD-8891']	['C02912']	['cpd01861']	['MNXM90191']								
