NP_052606.1	gnl|META|MONOMER-19808	5.9e-01	32.8	64	31.6	53.1	17.9
NP_052609.1	gnl|META|G7703-MONOMER	6.8e-167	55.5	564	583.6	73.9	94.9
NP_052610.1	gnl|META|G7704-MONOMER	3.5e-148	57.1	487	521.2	74.3	96.8
NP_052611.1	gnl|META|G7705-MONOMER	1.9e-91	48.1	403	332.4	68.2	99.0
NP_052612.1	gnl|META|G7706-MONOMER	3.7e-50	68.7	134	193.7	81.3	93.1
NP_052613.1	gnl|META|G7707-MONOMER	1.5e-11	30.4	161	65.9	47.8	85.9
NP_052614.1	gnl|META|G7708-MONOMER	1.9e-04	35.6	73	41.6	54.8	63.5
NP_052615.1	gnl|META|G7708-MONOMER	3.4e-01	26.5	83	31.6	47.0	41.7
NP_052616.1	gnl|META|G7710-MONOMER	3.8e-42	39.8	261	168.3	57.5	80.0
NP_052619.1	gnl|META|EG11359-MONOMER	3.4e-32	50.3	149	134.8	65.8	62.6
NP_052625.1	gnl|META|EG10613-MONOMER	1.7e-68	32.5	545	256.9	53.8	75.2
NP_052640.1	gnl|META|ARSA-MONOMER	2.8e-04	30.3	142	42.7	41.5	35.8
NP_052642.1	gnl|META|MONOMER-17156	1.1e-39	33.1	353	161.0	44.8	50.3
NP_052643.1	gnl|META|MVHGMAUTO-MONOMER	3.9e-01	30.9	68	32.0	44.1	22.0
NP_052645.1	gnl|META|EG11498-MONOMER	4.2e-16	29.6	240	81.3	42.1	88.5
NP_052647.1	gnl|META|MONOMER-19113	3.9e-02	26.5	147	35.0	41.5	48.4
NP_052654.1	gnl|META|MONOMER-12048	7.0e-01	35.2	54	30.4	46.3	28.9
NP_052656.1	gnl|META|EG10976-MONOMER	2.6e-46	56.0	184	181.0	64.1	100.0
NP_052670.1	gnl|META|MONOMER-19359	4.4e-02	28.2	110	35.0	45.5	36.7
NP_052676.1	gnl|META|PUTA-MONOMER	3.5e-01	37.0	46	30.4	60.9	48.9
NP_052687.1	gnl|META|BSU22460-MONOMER	7.6e-15	32.2	177	77.8	50.8	47.0
