Index_initial	Name_initial	Name_trimmed	Note	seq_counts	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	taxid_matched	species_taxid_matched	file_name	merge_index	id	bofTemplateType	species_experiment	designation in screen_x	version_1_rxn_count	version_1_met_count	version_1_gen_count	version_1_gap_count	version_1_growth_rate	draft_rxn_count	draft_met_count	draft_gen_count	species	full_name	lineage_species	genus	family	order	class	phylum	assembly	agora	sort	nid	nearest_kegg_org	ref_Index_initial	designation in screen_y	GMM	BHI++	WCA	mGAM	M1	M2	M3	M4	M5	M7	M8	M9	M10	M11	M13	M14	M15A	M15B	M16	taxon_id	gram_stain	comments	gram_stain==bofTemplateType
1	Bacteroides_dorei_vulgatus	Bacteroides dorei		51.0	GCF_000156075.1	PRJNA224116	SAMN00000029	ABWZ00000000.1	na	483217	357276	Bacteroides dorei DSM 17855	strain=DSM 17855		latest	Scaffold	Major	Full	10/9/08	ASM15607v1	Washington University Genome Sequencing Center	GCA_000156075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/075/GCF_000156075.1_ASM15607v1		assembly from type material	True	True	Bacteroides_dorei_DSM_17855	1.0	1.0	GramNegative	B. dorei	B. dorei	1518.0	1781.0	1123.0	107.0	0.3780060720249343	852.0	1187.0	804.0	B. dorei	Bacteroides dorei (S1) DSM 17855/JCM 13471	B. dorei	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000156075.1_ASM15607v1	Bacteroides_dorei_DSM_17855.xml	19.0	NT5049	bdo	ref_57.0	B. dorei	0.545 (0.098)	0.29 (0.013)	0.242 (0.015)	0.75 (0.039)	0	0.45 (0.038)	0.915 (0.036)	0.928 (0.029)	0.919 (0.011)	0.537 (NA)	0.881 (0.008)	0	0	0.798 (0.127)	0	0.259 (0.04)				483217	GramNegative	Bacteroides dorei DSM 17855. Bacteroides dorei DSM 17855 is the type strain and is being sequenced as part of the human gut microbiome project.	True
1.1		Bacteroides vulgatus		92.0	GCF_000012825.1	PRJNA224116	SAMN02604309		representative genome	435590	821	Bacteroides vulgatus ATCC 8482	strain=ATCC 8482		latest	Complete Genome	Major	Full	6/27/07	ASM1282v1	Washington University (WashU)	GCA_000012825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/825/GCF_000012825.1_ASM1282v1		assembly from type material	True	True	Bacteroides_vulgatus_ATCC_8482	1.0	1.0	GramNegative	B. vulgatus	B. vulgatus	1468.0	1700.0	1081.0	110.0	0.186592187026872	800.0	1106.0	764.0	B. vulgatus	Bacteroides vulgatus (S1) DSM No.: 1447	B. vulgatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000012825.1_ASM1282v1	Bacteroides_vulgatus_ATCC_8482.xml	36.0	NT5001	bvu	ref_14.0	B. vulgatus	0.656 (0.152)	0.906 (0.492)	1.033 (0.525)	1.095 (0.422)	0	0.97 (NA)	0.835 (0.017)	0.807 (0.045)	0.865 (0.026)	0.638 (0.044)	0.77 (0.095)	0	0.535 (0.095)	0.577 (0.034)	0	0.494 (0.351)	0	0.0	0.0	435590	GramPositive	Bacteroides vulgatus ATCC 8482. This strain is used for comparative genome analysis.	False
2	Bacteroides_uniformis	Bacteroides uniformis		151.0	GCF_000154205.1	PRJNA224116	SAMN00627060	AAYH00000000.2	representative genome	411479	820	Bacteroides uniformis ATCC 8492	strain=ATCC 8492		latest	Scaffold	Major	Full	7/30/07	ASM15420v1	Washington University Genome Sequencing Center	GCA_000154205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/205/GCF_000154205.1_ASM15420v1		assembly from type material	True	True	Bacteroides_uniformis_ATCC_8492	2.0	2.0	GramNegative	B. uniformis	B. uniformis	1355.0	1649.0	992.0	0.0	0.0	795.0	1094.0	799.0	B. uniformis	Bacteroides uniformis (S2) DSM No.: 6597	B. uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154205.1_ASM15420v1	Bacteroides_uniformis_ATCC_8492.xml	33.0	NT5002		ref_13.0	B. uniformis	0.774 (0.303)	0.212 (0.025)	0.182 (0.076)	1.212 (0.253)	0	0	0	0.529 (0.465)	0.682 (0.282)	0	0	0	0.636 (NA)	0	0.254 (0.181)	0.231 (NA)	0	0.0	0.0	411479	GramNegative	Bacteroides uniformis ATCC 8492. This strain is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
3	Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii		79.0	GCF_000162015.1	PRJNA224116	SAMN00008827	ACOP00000000.2	representative genome	411483	853	Faecalibacterium prausnitzii A2-165	strain=A2-165		latest	Scaffold	Major	Full	7/22/09	ASM16201v1	Washington University Genome Sequencing Center	GCA_000162015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/015/GCF_000162015.1_ASM16201v1					Faecalibacterium_prausnitzii_A2-165	3.0	3.0	GramPositive			1244.0	1423.0	820.0	104.0	0.3134069065448654	583.0	826.0	522.0																																			411483	GramNegative	Faecalibacterium prausnitzii A2-165. This strain is being sequenced as part of the human gut microbiome project	False
4	Parabacteroides_distasonis	Parabacteroides distasonis		79.0	GCF_000012845.1	PRJNA224116	SAMN02604310		representative genome	435591	823	Parabacteroides distasonis ATCC 8503	strain=ATCC 8503		latest	Complete Genome	Major	Full	6/27/07	ASM1284v1	Washington University (WashU)	GCA_000012845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/845/GCF_000012845.1_ASM1284v1		assembly from type material	True	True	Parabacteroides_distasonis_ATCC_8503	4.0	4.0	GramNegative	P. distasonis	P. distasonis	1403.0	1705.0	994.0	0.0	0.0	845.0	1158.0	803.0	P. distasonis	Parabacteroides distasonis (S2) DSM 20701	P. distasonis	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000012845.1_ASM1284v1	Parabacteroides_distasonis_ATCC_8503.xml	12.0	NT5074	pdi	ref_82.0	P. distasonis	0.625 (0.059)	0.209 (NA)	0.196 (NA)	0.504 (0.009)	0	0	0.684 (NA)	0.732 (NA)	0.704 (0.078)	0.662 (NA)	0.766 (0.088)	0	0	0.717 (NA)	0	0				435591	GramPositive	Parabacteroides distasonis ATCC 8503. This organism will be used for comparative genomics with other Bacteroides species.	False
5	Eubacterium_rectale	[Eubacterium] rectale		53.0	GCF_000020605.1	PRJNA224116	SAMN02603082		representative genome	515619	39491	[Eubacterium] rectale ATCC 33656	strain=ATCC 33656		latest	Complete Genome	Major	Full	6/4/09	ASM2060v1	Center for Genome Sciences, Washington University School of Medicine	GCA_000020605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/605/GCF_000020605.1_ASM2060v1		assembly from type material			[Eubacterium]_rectale_ATCC_33656	5.0	5.0	GramPositive			1253.0	1452.0	857.0	68.0	0.31469176504125757	630.0	884.0	600.0																																			515619	GramPositive	Eubacterium rectale ATCC 33656. Eubacterium rectale ATCC 33656 was isolated from human feces. This is the type strain and will be used for comparative analysis with other human gut bacteria.	True
6	Alistipes_putredinis	Alistipes putredinis		2.0	GCF_000154465.1	PRJNA224116	SAMN00000002	ABFK00000000.2	representative genome	445970	28117	Alistipes putredinis DSM 17216	strain=DSM 17216		latest	Scaffold	Major	Full	11/1/07	ASM15446v1	Washington University Genome Sequencing Center	GCA_000154465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/465/GCF_000154465.1_ASM15446v1		assembly from type material	True	True	Alistipes_putredinis_DSM_17216	6.0	6.0	GramNegative	A. putredinis	A. putredinis	1127.0	1358.0	621.0	0.0	0.0	565.0	809.0	437.0	A. putredinis	Alistipes putredinis (S2) DSMZ 17216	A. putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154465.1_ASM15446v1	Alistipes_putredinis_DSM_17216.xml	14.0	NT5014		ref_2.0	A. putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				445970	GramNegative	Alistipes putredinis DSM 17216. Alistipes putredinis DSM 17216 (ATCC 29800) was isolated from human feces. This strain is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
7	Odoribacter_splanchnicus	Odoribacter splanchnicus		14.0	GCF_000190535.1	PRJNA224116	SAMN00713588		representative genome	709991	28118	Odoribacter splanchnicus DSM 20712	strain=DSM 220712		latest	Complete Genome	Major	Full	2/28/11	ASM19053v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000190535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/535/GCF_000190535.1_ASM19053v1		assembly from type material	True	True	Odoribacter_splanchnicus_DSM_20712	7.0	7.0	GramNegative	O. splanchnicus	O. splanchnicus	1257.0	1534.0	851.0	0.0	0.0	697.0	976.0	659.0	O. splanchnicus	Odoribacter splanchnicus (S2) DSM 20712	O. splanchnicus	Odoribacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000190535.1_ASM19053v1	Odoribacter_splanchnicus_1651_6_DSM_20712.xml	11.0	NT5081	osp	ref_86.0	O. splanchnicus	0.332 (0.033)	0	0.492 (NA)	0.696 (0.071)	0	0	0	0	0	0	0	0	0	0	0	0				709991	GramNegative	Odoribacter splanchnicus DSM 20712. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.	True
8	Ruminococcus_bromii	Ruminococcus bromii		18.0	GCF_900101355.1	PRJNA224116	SAMN02910441	FMUV00000000.1	representative genome	40518	40518	Ruminococcus bromii	strain=YE282		latest	Contig	Major	Full	10/17/16	IMG-taxon 2593339225 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900101355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/355/GCF_900101355.1_IMG-taxon_2593339225_annotated_assembly					Ruminococcus_bromii	8.0	8.0	GramPositive			1191.0	1373.0	741.0	68.0	0.26601180303237176	567.0	810.0	478.0																																			40518		Comparative genomics of Ruminococcus bromii. Ruminococcus bromii is one of the most prevalent keystone bacterial species that can ferment dietary starches that resist digestion by host enzymes (resistant starch, RS) in the human colon. Degradation of the prebiotic RS has important implications in health by providing sources of energy that can be utilized by other symbiotic short-chain fatty-acid-producing bacteria in the colon. RS fermentation has been shown to reduce insulin resistance, reverse infective diarrhoea and prevent colorectal cancer. Comparative genome analysis of 4 human (L2-63, L2-36, 5AMG, and the type strain ATCC27255) and one rumen (YE282) R. bromii strains was conducted to understand the pivotal role of this species in health and disease.	False
9	Parabacteroides_merdae	Parabacteroides merdae		36.0	GCF_000154105.1	PRJNA224116	SAMN00627057	AAXE00000000.2	na	411477	46503	Parabacteroides merdae ATCC 43184	strain=ATCC 43184		latest	Scaffold	Major	Full	5/25/07	ASM15410v1	Washington University Genome Sequencing Center	GCA_000154105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/105/GCF_000154105.1_ASM15410v1		assembly from type material	True	True	Parabacteroides_merdae_ATCC_43184	9.0	9.0	GramNegative	P. merdae	P. merdae	1333.0	1636.0	906.0	0.0	0.0	774.0	1083.0	715.0	P. merdae	Parabacteroides merdae (S1) DSM 19495	P. merdae	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154105.1_ASM15410v1	Parabacteroides_merdae_ATCC_43184.xml	13.0	NT5071		ref_79.0	P. merdae	0.154 (NA)	0.271 (NA)	0.21 (0.003)	0.643 (0.006)	0	0	0.204 (0.123)	0	0.609 (NA)	0	0.491 (0.051)	0	0	0.398 (NA)	0.145 (0.001)	0				411477	GramNegative	Parabacteroides merdae ATCC 43184. Formerly Bacteroides merdae, this strain was isolated from human feces. This is the type strain and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
10	Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron		41.0	GCF_000011065.1	PRJNA62913	SAMN02604314		reference genome	226186	818	Bacteroides thetaiotaomicron VPI-5482	strain=VPI-5482		latest	Complete Genome	Major	Full	3/28/03	ASM1106v1	Washington University Department of Molecular Biology and Pharmacology	GCA_000011065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/065/GCF_000011065.1_ASM1106v1		assembly from type material	True	True	Bacteroides_thetaiotaomicron_VPI-5482	10.0	10.0	GramNegative	B. thetaiotaomicron	B. thetaiotaomicron	1488.0	1724.0	1174.0	105.0	1.8220352571110254	827.0	1128.0	861.0	B. thetaiotaomicron	Bacteroides thetaiotaomicron(S2) DSM No.: 2079	B. thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000011065.1_ASM1106v1	Bacteroides_thetaiotaomicron_VPI_5482.xml	32.0	NT5004	bth	ref_12.0	B. thetaiotaomicron	0.742 (0.379)	0.724 (0.358)	0.656 (0.278)	1.259 (0.27)	0	0.194 (0.042)	0.453 (0.072)	0.435 (NA)	0.564 (0.138)	0.174 (0.164)	0.893 (0.268)	0	0.143 (NA)	0.695 (NA)	0.424 (0.22)	0	0	0.0	0.0	226186	GramNegative	Bacteroides thetaiotaomicron strain VPI-5482. This is the type strain for this organism and was isolated from the feces of a healthy adult.	True
11	Bacteroides_xylanisolvens	Bacteroides xylanisolvens		90.0	GCF_006546965.1	PRJNA224116	SAMN12137749		na	371601	371601	Bacteroides xylanisolvens	strain=H207		latest	Complete Genome	Major	Full	7/3/19	ASM654696v1	University of Washington	GCA_006546965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/546/965/GCF_006546965.1_ASM654696v1				True	Bacteroides_xylanisolvens	11.0	11.0	GramNegative			1471.0	1701.0	1121.0	103.0	1.8220290878137342	811.0	1102.0	806.0																																			371601		Our intestinal microbiota harbours a diverse bacterial community required for our health, sustenance and wellbeing. Intestinal colonization begins at birth and climaxes with the acquisition of two dominant groups of strict anaerobic bacteria belonging to the Firmicutes and Bacteroidetes phyla. Culture-independent, genomic approaches have transformed our understanding of the role of the human microbiome in health and many diseases. However, owing to the prevailing perception that our indigenous bacteria are largely recalcitrant to culture, many of their functions and phenotypes remain unknown. Here we describe a novel workflow based on targeted phenotypic culturing linked to large-scale whole-genome sequencing, phylogenetic analysis and computational modelling that demonstrates that a substantial proportion of the intestinal bacteria are culturable. Applying this approach to healthy individuals, we isolated 137 bacterial species from characterized and candidate novel families, genera and species that were archived as pure cultures. Whole-genome and metagenomic sequencing, combined with computational and phenotypic analysis, suggests that at least 50-60% of the bacterial genera from the intestinal microbiota of a healthy individual produce resilient spores, specialized for host-to-host transmission. Our approach unlocks the human intestinal microbiota for phenotypic analysis and reveals how a marked proportion of oxygen-sensitive intestinal bacteria can be transmitted between individuals, affecting microbiota heritability. These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/;cultured from healthy adult human faeces	False
12	Ruminococcus_sp__5_1_39BFAA	Ruminococcus sp. 5_1_39BFAA		1.0	GCF_000159975.2	PRJNA224116	SAMN02463719	ACII00000000.2	na	457412	457412	Ruminococcus sp. 5_1_39BFAA	strain=5_1_39BFAA		latest	Contig	Major	Full	8/28/13	Ruminococus_sp_5_1_39B_FAA_V2	Broad Institute	GCA_000159975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/975/GCF_000159975.2_Ruminococus_sp_5_1_39B_FAA_V2					Ruminococcus_sp._5_1_39BFAA	12.0	12.0	GramPositive			1344.0	1555.0	990.0	63.0	0.3123134862233648	728.0	1001.0	730.0																																			457412	GramPositive	Ruminococcus sp. 5_1_39B_FAA.A reference genome for the Human Microbiome Project.	True
13	Bacteroides_ovatus	Bacteroides ovatus		53.0	GCF_001314995.1	PRJNA224116	SAMN03852683		representative genome	28116	28116	Bacteroides ovatus	strain=ATCC 8483		latest	Complete Genome	Major	Full	10/15/15	ASM131499v1	Washington University in St. Louis	GCA_001314995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/995/GCF_001314995.1_ASM131499v1		assembly from type material		True	Bacteroides_ovatus	13.0	13.0	GramNegative			1497.0	1732.0	1167.0	103.0	0.25457893540414117	836.0	1133.0	847.0																																			28116		Whole genome and metagenomic sequencing of novel and characterised bacteria from healthy human donors These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/	False
14	Roseburia_inulinivorans	Roseburia inulinivorans		12.0	GCF_000174195.1	PRJNA224116	SAMN00008857	ACFY00000000.1	representative genome	622312	360807	Roseburia inulinivorans DSM 16841	strain=DSM 16841		latest	Contig	Major	Full	3/12/09	ASM17419v1	Washington University Genome Sequencing Center	GCA_000174195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/195/GCF_000174195.1_ASM17419v1		assembly from type material			Roseburia_inulinivorans_DSM_16841	14.0	14.0	GramPositive			1248.0	1455.0	886.0	78.0	0.22091364000293195	618.0	873.0	611.0																																			622312		Roseburia inulinivorans DSM 16841. This is the type strain and is part of the Human Microbiome Project (HMP).	False
15	X_Ruminococcus__torques	[Ruminococcus] torques		16.0	GCF_000153925.1	PRJNA224116	SAMN00627104	AAVP00000000.2	representative genome	411460	33039	[Ruminococcus] torques ATCC 27756	strain=ATCC 27756		latest	Scaffold	Major	Full	5/25/07	ASM15392v1	Washington University Genome Sequencing Center	GCA_000153925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/925/GCF_000153925.1_ASM15392v1		assembly from type material	True	True	[Ruminococcus]_torques_ATCC_27756	15.0	15.0	GramPositive	R. torques	R. torques	1117.0	1344.0	704.0	0.0	0.0	564.0	795.0	519.0	R. torques	Ruminococcus torques (S1) ATCC No: 27756	R. torques	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000153925.1_ASM15392v1	Ruminococcus_torques_ATCC_27756.xml	72.0	NT5047	rto	ref_46.0	R. torques	0.196 (0.061)	0	0	0	0	0	0	0	0	0	0.819 (0.024)	0.264 (0.031)	0	0	0	0	0	0.0	0.0	411460	GramPositive	Ruminococcus torques ATCC 27756.This strain was isolated from human feces and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
