  	Substances                          	Link                                           	Concentration_V.parvula defined medium	Role_V.parvula defined medium
0
1 	sodium lactate                      	/compound?orgid=META&id=CPD-22908              	10 g/l                                	 
2 	dipotassium hydrogen phosphate      	/compound?orgid=META&id=CPD0-2433              	0.6 g/l                               	 
3 	ammonium carbonate                  	/compound?orgid=META&id=CPD-22913              	0.5 g/l                               	 
4 	glutamate                           	/META/NEW-IMAGE?type=COMPOUND&object=Glutamates	0.5 g/l                               	 
5 	potassium dihydrogen phosphate      	/compound?orgid=META&id=CPD0-1421              	0.2 g/l                               	 
6 	L-serine                            	/compound?orgid=META&id=SER                    	0.1 g/l                               	 
7 	sodium thioglycolate                	/compound?orgid=META&id=CPD-22914              	0.1 g/l                               	 
8 	L-aspartate                         	/compound?orgid=META&id=L-ASPARTATE            	0.1 g/l                               	 
9 	L-cysteine                          	/compound?orgid=META&id=CYS                    	50 mg/l                               	 
10	L-tyrosine                          	/compound?orgid=META&id=TYR                    	40 mg/l                               	 
11	sodium molybdate dihydrate          	/compound?orgid=META&id=CPD-19634              	20 mg/l                               	 
12	ferrous ammonium sulfate hexahydrate	/compound?orgid=META&id=CPD-22910              	20 mg/l                               	 
13	manganese(II) sulfate monohydrate   	/compound?orgid=META&id=CPD-22902              	10 mg/l                               	 
14	putrescine dihydrochloride          	/compound?orgid=META&id=CPD-22909              	5 mg/l                                	 
15	zinc sulfate heptahydrate           	/compound?orgid=META&id=CPD0-2420              	5 mg/l                                	 
16	thiamine HCl                        	/compound?orgid=META&id=CPD-22876              	2 mg/l                                	 
17	pyridoxal hydrochloride             	/compound?orgid=META&id=CPD-22915              	2 mg/l                                	 
18	sodium metavanadate                 	/compound?orgid=META&id=CPD-22912              	1 mg/l                                	 
19	calcium pantothenate                	/compound?orgid=META&id=CPD0-2443              	1 mg/l                                	 
20	nicotinate                          	/compound?orgid=META&id=NIACINE                	1 mg/l                                	 
21	4-aminobenzoate                     	/compound?orgid=META&id=P-AMINO-BENZOATE       	0.5 mg/l                              	 
22	magnesium sulfate heptahydrate      	/compound?orgid=META&id=CPD0-2387              	0.2 mg/l                              	 
