  	Constituents        	Link                                                       	Concentration_mGAM	Role_mGAM
0
1 	Na+                 	/compound?orgid=META&id=NA%2b                              	53.6 mM
2 	chloride            	/compound?orgid=META&id=CL-                                	51 mM
3 	K+                  	/compound?orgid=META&id=K%2b                               	18.4 mM
4 	dihydrogen phosphate	/compound?orgid=META&id=CPD-16459                          	18.4 mM
5 	L-arginine          	/compound?orgid=META&id=ARG                                	5.7 mM
6 	D-glucose           	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose             	2.8 mM
7 	thioglycolate       	/compound?orgid=META&id=THIOGLYCOLATE                      	2.6 mM
8 	L-cysteine          	/compound?orgid=META&id=CYS                                	1.9 mM
9 	HCl                 	/compound?orgid=META&id=HCL                                	1.9 mM
10	L-tryptophan        	/compound?orgid=META&id=TRP                                	980.0 µM
11	hemin               	/compound?orgid=META&id=CPD-11678                          	15 µM
12	phylloquinone       	/compound?orgid=META&id=2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE	11 µM
13	liver extract       	/META/NEW-IMAGE?type=Non-Defined-Mixtures&object=MIX-10911
14	meat extract        	/META/NEW-IMAGE?type=Non-Defined-Mixtures&object=MIX-10908
15	peptone             	/META/NEW-IMAGE?type=Non-Defined-Mixtures&object=MIX3O-4
16	soytone             	/META/NEW-IMAGE?type=Non-Defined-Mixtures&object=MIX0-839
17	yeast extract       	/META/NEW-IMAGE?type=Non-Defined-Mixtures&object=MIX0-804
