	id	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
2065	12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)				MNXR94675		iML1515						['MNXR94675']								
2043	12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)				MNXR94676		iML1515						['MNXR94676']								
1788	12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)				MNXR94677		iML1515						['MNXR94677']								
2045	12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)				MNXR94678		iML1515						['MNXR94678']								
2188	12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)				MNXR94679		iML1515						['MNXR94679']								
2050	12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)				MNXR94680		iML1515						['MNXR94680']								
2189	12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)				MNXR94681		iML1515						['MNXR94681']								
1968	12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	TRANS-RXN0-467		rxn07919; rxn07920	MNXR94683	TRANS-RXN0-467	iML1515			['META:TRANS-RXN0-467']		['rxn07920', 'rxn07919']	['MNXR94683']								
1910	12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	TRANS-RXN0-467		rxn07919; rxn07920	MNXR94683	TRANS-RXN0-467	iML1515			['META:TRANS-RXN0-467']		['rxn07920', 'rxn07919']	['MNXR94683']								
761	12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)				MNXR94684		iML1515						['MNXR94684']								
1830	12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)				MNXR94684		iML1515						['MNXR94684']								
2505	13PPDH2	1,3-propanediol dehydrogenase	RXN0-6487				RXN0-6487	iML1515														
1382	14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)				MNXR94693		iML1515						['MNXR94693']								
1383	14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible				MNXR94694		iML1515						['MNXR94694']								
961	23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)			rxn07925	MNXR94718		iML1515					['rxn07925']	['MNXR94718']								
962	23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)			rxn07926	MNXR94720		iML1515					['rxn07926']	['MNXR94720']								
964	23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)			rxn07927	MNXR94721		iML1515					['rxn07927']	['MNXR94721']								
3287	23CN2P1		RXN-14113	R03537	rxn02521	MNXR94722	RXN-14113		iYO844						['META:RXN-14113']	['R03537']	['rxn02521']	['MNXR94722']				
3288	23CN2P2		RXN-14091	R03538	rxn02522	MNXR94723	RXN-14091		iYO844						['META:RXN-14091']	['R03538']	['rxn02522']	['MNXR94723']				
3289	23CN2P3		RXN-14112	R03929	rxn02762	MNXR94724	RXN-14112		iYO844						['META:RXN-14112']	['R03929']	['rxn02762']	['MNXR94724']				
3290	23CN2P4		RXN-14064	R05135	rxn03483	MNXR94725	RXN-14064		iYO844						['META:RXN-14064']	['R05135']	['rxn03483']	['MNXR94725']				
963	23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)			rxn07928	MNXR94726		iML1515					['rxn07928']	['MNXR94726']								
2212	23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport			rxn07929	MNXR94727		iML1515					['rxn07929']	['MNXR94727']								
1840	23DAPPAtex	2,3-diaminopropionate transport via diffusion			rxn07930	MNXR94728		iML1515					['rxn07930']	['MNXR94728']								
2490	23DOGULNt4pp	Na+/ 2,3-Dioxo-L-gulonate symport (periplasm)	TRANS-RXN0-235				TRANS-RXN0-235	iML1515														
1211	23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	RXN-14091	R03538	rxn02522	MNXR94723	RXN-14091	iML1515			['META:RXN-14091']	['R03538']	['rxn02522']	['MNXR94723']								
1212	23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	RXN-14112	R03929	rxn02762	MNXR94724	RXN-14112	iML1515			['META:RXN-14112']	['R03929']	['rxn02762']	['MNXR94724']								
1405	23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	RXN-14113	R03537	rxn02521	MNXR94722	RXN-14113	iML1515			['META:RXN-14113']	['R03537']	['rxn02521']	['MNXR94722']								
1213	23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	RXN-14064	R05135	rxn03483	MNXR94725	RXN-14064	iML1515			['META:RXN-14064']	['R05135']	['rxn03483']	['MNXR94725']								
647	26DAHtex	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)			rxn07931	MNXR94741		iML1515					['rxn07931']	['MNXR94741']								
2790	26DPAi		RXN-5041		rxn10061	MNXR121773			iYO844						['META:RXN-5041']		['rxn10061']	['MNXR121773']				
1698	2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)			rxn07932	MNXR94743		iML1515					['rxn07932']	['MNXR94743']								
2136	2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)			rxn07933	MNXR94744		iML1515					['rxn07933']	['MNXR94744']								
2144	2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)			rxn07934	MNXR94745		iML1515					['rxn07934']	['MNXR94745']								
2141	2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)			rxn07935	MNXR94746		iML1515					['rxn07935']	['MNXR94746']								
2092	2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)			rxn07936	MNXR94747		iML1515					['rxn07936']	['MNXR94747']								
2143	2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)			rxn07937	MNXR94748		iML1515					['rxn07937']	['MNXR94748']								
