  	Substances                    	Link                                          	Concentration_B.thetaiotaomicron MM	Role_B.thetaiotaomicron MM
0
1 	calcium chloride              	/compound?orgid=META&id=CPD0-1589             	5.55 g/l                           	 
2 	D-glucose                     	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	5 g/l                              	 
3 	ammonium sulfate              	/compound?orgid=META&id=NH42SO4               	1.12 g/l                           	 
4 	sodium chloride               	/compound?orgid=META&id=NACL                  	0.88 g/l                           	 
5 	L-cysteine                    	/compound?orgid=META&id=CYS                   	0.5 g/l                            	 
6 	L-histidine                   	/compound?orgid=META&id=HIS                   	31 mg/l                            	 
7 	potassium dihydrogen phosphate	/compound?orgid=META&id=CPD0-1421             	13.6 mg/l                          	 
8 	magnesium dichloride          	/compound?orgid=META&id=MGCL2                 	9.52 mg/l                          	 
9 	hematin                       	/compound?orgid=META&id=CPD-11677             	1.2 mg/l                           	 
10	menadione                     	/compound?orgid=META&id=CPD-3766              	1 mg/l                             	 
11	iron(II) sulfate heptahydrate 	/compound?orgid=META&id=CPD0-2418             	0.384 mg/l                         	 
12	adenosylcobalamin             	/compound?orgid=META&id=ADENOSYLCOBALAMIN     	5 µg/l                             	 
