  	Substances                        	Link                                          	Concentration_dGMM+LAB plus Mucin	Role_dGMM+LAB plus Mucin
0
1 	potassium dihydrogen phosphate    	/compound?orgid=META&id=CPD0-1421             	13.609 g/l                       	 
2 	dipotassium hydrogen phosphate    	/compound?orgid=META&id=CPD0-2433             	6.48 g/l                         	 
3 	D-glucose                         	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	5 g/l                            	 
4 	a mucin                           	/META/NEW-IMAGE?type=ENZYME&object=Mucin      	5 g/l                            	 
5 	diammonium citrate                	/compound?orgid=META&id=CPD-22905             	1.7 g/l                          	 
6 	N-tris(hydroxymethyl)methylglycine	/compound?orgid=META&id=CPD0-2399             	1.5 g/l                          	 
7 	β-D-cellobiose                    	/compound?orgid=META&id=CELLOBIOSE            	1 g/l                            	 
8 	maltose                           	/META/NEW-IMAGE?type=COMPOUND&object=MALTOSE  	1 g/l                            	 
9 	fructose                          	/META/NEW-IMAGE?type=COMPOUND&object=Fructose 	1 g/l                            	 
10	lactose                           	/META/NEW-IMAGE?type=COMPOUND&object=CPD-15972	1 g/l                            	 
11	L-leucine                         	/compound?orgid=META&id=LEU                   	1 g/l                            	 
12	potassium acetate                 	/compound?orgid=META&id=CPD-22893             	0.9 g/l                          	 
13	sodium chloride                   	/compound?orgid=META&id=NACL                  	0.81 g/l                         	 
14	L-arginine                        	/compound?orgid=META&id=ARG                   	0.72 g/l                         	 
15	L-proline                         	/compound?orgid=META&id=PRO                   	0.7 g/l                          	 
16	L-valine                          	/compound?orgid=META&id=VAL                   	0.7 g/l                          	 
17	L-glutamate                       	/compound?orgid=META&id=GLT                   	0.6 g/l                          	 
18	L-glutamine                       	/compound?orgid=META&id=GLN                   	0.6 g/l                          	 
19	L-threonine                       	/compound?orgid=META&id=THR                   	0.5 g/l                          	 
20	L-cysteine                        	/compound?orgid=META&id=CYS                   	0.5 g/l                          	 
21	L-lysine                          	/compound?orgid=META&id=LYS                   	0.5 g/l                          	 
22	L-asparagine                      	/compound?orgid=META&id=ASN                   	0.5 g/l                          	 
23	L-ascorbate                       	/compound?orgid=META&id=ASCORBATE             	0.5 g/l                          	 
24	L-serine                          	/compound?orgid=META&id=SER                   	0.5 g/l                          	 
25	L-alanine                         	/compound?orgid=META&id=L-ALPHA-ALANINE       	0.4 g/l                          	 
26	L-phenylalanine                   	/compound?orgid=META&id=PHE                   	0.4 g/l                          	 
27	sodium bicarbonate                	/compound?orgid=META&id=CPD-22421             	0.4 g/l                          	 
28	L-tyrosine                        	/compound?orgid=META&id=TYR                   	0.3 g/l                          	 
29	glycine                           	/compound?orgid=META&id=GLY                   	0.3 g/l                          	 
30	L-isoleucine                      	/compound?orgid=META&id=ILE                   	0.24 g/l                         	 
31	L-tryptophan                      	/compound?orgid=META&id=TRP                   	0.2 g/l                          	 
32	L-histidine                       	/compound?orgid=META&id=HIS                   	0.171 g/l                        	 
33	L-methionine                      	/compound?orgid=META&id=MET                   	0.125 g/l                        	 
34	L-aspartate                       	/compound?orgid=META&id=L-ASPARTATE           	0.05 g/l                         	 
35	potassium chloride                	/compound?orgid=META&id=KCL                   	50 mg/l                          	 
36	calcium chloride                  	/compound?orgid=META&id=CPD0-1589             	30.2 mg/l                        	 
37	magnesium sulfate heptahydrate    	/compound?orgid=META&id=CPD0-2387             	30 mg/l                          	 
38	uracil                            	/compound?orgid=META&id=URACIL                	23 mg/l                          	 
39	glutathione                       	/compound?orgid=META&id=GLUTATHIONE           	15 mg/l                          	 
40	EDTA                              	/compound?orgid=META&id=EDTA                  	12.34 mg/l                       	 
41	adenine                           	/compound?orgid=META&id=ADENINE               	11 mg/l                          	 
42	nitrilotriacetate                 	/compound?orgid=META&id=CPD-10188             	7.24 mg/l                        	 
43	biotin                            	/compound?orgid=META&id=BIOTIN                	6.02 mg/l                        	 
44	guanine                           	/compound?orgid=META&id=GUANINE               	5.6 mg/l                         	 
45	zinc sulfate heptahydrate         	/compound?orgid=META&id=CPD0-2420             	5 mg/l                           	 
46	pyridoxamine dihydrochloride      	/compound?orgid=META&id=CPD-22901             	5 mg/l                           	 
47	pyridoxine HCl                    	/compound?orgid=META&id=CPD185E-7             	4.8 mg/l                         	 
48	iron(II) sulfate heptahydrate     	/compound?orgid=META&id=CPD0-2418             	4 mg/l                           	 
49	xanthine                          	/compound?orgid=META&id=XANTHINE              	3.8 mg/l                         	 
50	iron(III) chloride                	/compound?orgid=META&id=CPD0-1693             	3 mg/l                           	 
51	myo-inositol                      	/compound?orgid=META&id=MYO-INOSITOL          	2 mg/l                           	 
52	propanoate                        	/compound?orgid=META&id=PROPIONATE            	2 mg/l                           	 
53	butanoate                         	/compound?orgid=META&id=BUTYRIC_ACID          	2 mg/l                           	 
54	NAD+                              	/compound?orgid=META&id=NAD                   	2 mg/l                           	 
55	acetate                           	/compound?orgid=META&id=ACET                  	1.7 mg/l                         	 
56	calcium pantothenate              	/compound?orgid=META&id=CPD0-2443             	1.2 mg/l                         	 
57	hematin                           	/compound?orgid=META&id=CPD-11677             	1.2 mg/l                         	 
58	(R)-lipoate                       	/compound?orgid=META&id=LIPOIC-ACID           	1.05 mg/l                        	 
59	menadione                         	/compound?orgid=META&id=CPD-3766              	1 mg/l                           	 
60	resazurin                         	/compound?orgid=META&id=CPD-22877             	1 mg/l                           	 
61	cobalt(II) nitrate hexahydrate    	/compound?orgid=META&id=CPD-19638             	1 mg/l                           	 
62	nicotinate                        	/compound?orgid=META&id=NIACINE               	0.9 mg/l                         	 
63	riboflavin                        	/compound?orgid=META&id=RIBOFLAVIN            	0.9 mg/l                         	 
64	borate                            	/compound?orgid=META&id=BORATE                	0.75 mg/l                        	 
65	folate                            	/compound?orgid=META&id=CPD-12826             	0.56 mg/l                        	 
66	thiamine HCl                      	/compound?orgid=META&id=CPD-22876             	0.56 mg/l                        	 
67	manganese(II) sulfate monohydrate 	/compound?orgid=META&id=CPD-22902             	0.5 mg/l                         	 
68	hemin                             	/compound?orgid=META&id=CPD-11678             	0.5 mg/l                         	 
69	magnesium dichloride              	/compound?orgid=META&id=MGCL2                 	0.386 mg/l                       	 
70	cobalt chloride hexahydrate       	/compound?orgid=META&id=CPD-22904             	0.19 mg/l                        	 
71	ammonium heptamolybdate           	/compound?orgid=META&id=CPD0-2508             	0.19 mg/l                        	 
72	copper sulfate                    	/compound?orgid=META&id=CUSO4                 	0.12 mg/l                        	 
73	potassium iodide                  	/compound?orgid=META&id=CPD-22903             	0.11 mg/l                        	 
74	isovalerate                       	/compound?orgid=META&id=ISOVALERATE           	0.1 mg/l                         	 
75	sodium tungstate dihydrate        	/compound?orgid=META&id=CPD-22885             	0.1 mg/l                         	 
76	sodium molybdate dihydrate        	/compound?orgid=META&id=CPD-19634             	0.1 mg/l                         	 
77	potassium aluminium sulfate       	/compound?orgid=META&id=CPD-22882             	0.1 mg/l                         	 
78	4-aminobenzoate                   	/compound?orgid=META&id=P-AMINO-BENZOATE      	50 µg/l                          	 
79	adenosylcobalamin                 	/compound?orgid=META&id=ADENOSYLCOBALAMIN     	1 µg/l                           	 
