Index_initial,Name_initial,Name_trimmed,Note
1,Bacteroides_dorei_vulgatus,Bacteroides dorei,
1.1,,Bacteroides vulgatus,
2,Bacteroides_uniformis,Bacteroides uniformis,
3,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,
4,Parabacteroides_distasonis,Parabacteroides distasonis,
5,Eubacterium_rectale,[Eubacterium] rectale,
6,Alistipes_putredinis,Alistipes putredinis,
7,Odoribacter_splanchnicus,Odoribacter splanchnicus,
8,Ruminococcus_bromii,Ruminococcus bromii,
9,Parabacteroides_merdae,Parabacteroides merdae,
10,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,
11,Bacteroides_xylanisolvens,Bacteroides xylanisolvens,
12,Ruminococcus_sp__5_1_39BFAA,Ruminococcus sp. 5_1_39BFAA,
13,Bacteroides_ovatus,Bacteroides ovatus,
14,Roseburia_inulinivorans,Roseburia inulinivorans,
15,X_Ruminococcus__torques,[Ruminococcus] torques,
16,Escherichia_coli,Escherichia coli,
17,Eubacterium_eligens,[Eubacterium] eligens,
18,Bilophila_wadsworthia,Bilophila wadsworthia,
19,Collinsella_aerofaciens,Collinsella aerofaciens,
20,Bacteroides_caccae,Bacteroides caccae,
21,Alistipes_shahii,Alistipes shahii,
22,Alistipes_sp__HGB5,Alistipes sp. HGB5,
23,Coprococcus_comes,Coprococcus comes,
24,Dorea_longicatena,Dorea longicatena,
25,Roseburia_intestinalis,Roseburia intestinalis,
26,butyrate_producing_bacterium_SS3_4,butyrate-producing bacterium SS3/4,
27,Ruminococcus_sp__SR1_5,Ruminococcus sp. SR1/5,
28,butyrate_producing_bacterium,butyrate-producing bacterium,
29,Eubacterium_hallii,Anaerobutyricum hallii,?
30,Dorea_formicigenerans,Dorea formicigenerans,
31,Roseburia_hominis,Roseburia hominis,
32,X_Ruminococcus__obeum,Blautia obeum,?
33,Coprococcus_catus,Coprococcus catus,
34,Prevotella_copri,Prevotella copri,
35,Clostridium_bolteae,[Clostridium] bolteae,
36,Bacteroides_fragilis,Bacteroides fragilis,
37,Bifidobacterium_longum,Bifidobacterium longum,
38,Bifidobacterium_adolescentis,Bifidobacterium adolescentis,
39,Streptococcus_thermophilus,Streptococcus thermophilus,
40,Akkermansia_muciniphila,Akkermansia muciniphila,
41,Pseudoflavonifractor_capillosus,Pseudoflavonifractor capillosus,
42,Holdemania_filiformis,Holdemania filiformis,
43,Ruminococcaceae_bacterium_D16,Ruminococcaceae bacterium D16,
44,Streptococcus_salivarius,Streptococcus salivarius,
45,Clostridium_leptum,[Clostridium] leptum,
46,Eubacterium_siraeum,[Eubacterium] siraeum,
47,Eubacterium_ventriosum,Eubacterium ventriosum,
48,Parasutterella_excrementihominis,Parasutterella excrementihominis,
49,Eggerthella_lenta,Eggerthella lenta,
50,Streptococcus_parasanguinis,Streptococcus parasanguinis,
51,Ruminococcus_lactaris,Ruminococcus lactaris,
52,Haemophilus_parainfluenzae,Haemophilus parainfluenzae,
53,Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,Bifidobacterium catenulatum,
53.1,,Bifidobacterium pseudocatenulatum,
54,X_Clostridium__bartlettii,Intestinibacter bartlettii,?
