  	Constituents                      	Link                                          	Concentration_dGMM+LAB 10% aminoacids	Role_dGMM+LAB 10% aminoacids
0
1 	K+                                	/compound?orgid=META&id=K%2b                  	174.41 mM
2 	dihydrogen phosphate              	/compound?orgid=META&id=CPD-16459             	100.0 mM
3 	Na+                               	/compound?orgid=META&id=NA%2b                 	56.301 mM
4 	chloride                          	/compound?orgid=META&id=CL-                   	52.107 mM
5 	phosphate                         	/compound?orgid=META&id=Pi                    	37.2 mM
6 	D-glucose                         	/META/NEW-IMAGE?type=COMPOUND&object=D-Glucose	28 mM
7 	ammonium                          	/compound?orgid=META&id=AMMONIUM              	15.101 mM
8 	N-tris(hydroxymethyl)methylglycine	/compound?orgid=META&id=CPD0-2399             	8.37 mM
9 	citrate                           	/compound?orgid=META&id=CIT                   	7.55 mM
10	hydrogencarbonate                 	/compound?orgid=META&id=HCO3                  	4.8 mM
11	lactose                           	/META/NEW-IMAGE?type=COMPOUND&object=CPD-15972	2.9 mM
12	maltose                           	/META/NEW-IMAGE?type=COMPOUND&object=MALTOSE  	2.9 mM
13	β-D-cellobiose                    	/compound?orgid=META&id=CELLOBIOSE            	2.9 mM
14	L-ascorbate                       	/compound?orgid=META&id=ASCORBATE             	2.9 mM
15	L-leucine                         	/compound?orgid=META&id=LEU                   	760 µM
16	L-proline                         	/compound?orgid=META&id=PRO                   	610.0 µM
17	L-valine                          	/compound?orgid=META&id=VAL                   	600 µM
18	L-serine                          	/compound?orgid=META&id=SER                   	480.0 µM
19	L-alanine                         	/compound?orgid=META&id=L-ALPHA-ALANINE       	450.0 µM
20	L-threonine                       	/compound?orgid=META&id=THR                   	420 µM
21	L-arginine                        	/compound?orgid=META&id=ARG                   	411.0 µM
22	L-cysteine                        	/compound?orgid=META&id=CYS                   	410 µM
23	L-glutamate                       	/compound?orgid=META&id=GLT                   	410 µM
24	L-glutamine                       	/compound?orgid=META&id=GLN                   	410 µM
25	glycine                           	/compound?orgid=META&id=GLY                   	400.0 µM
26	L-asparagine                      	/compound?orgid=META&id=ASN                   	380 µM
27	L-lysine                          	/compound?orgid=META&id=LYS                   	340.0 µM
28	Ca2+                              	/compound?orgid=META&id=CA%2b2                	275.39 µM
29	L-phenylalanine                   	/compound?orgid=META&id=PHE                   	240.0 µM
30	uracil                            	/compound?orgid=META&id=URACIL                	205.0 µM
31	L-histidine                       	/compound?orgid=META&id=HIS                   	200 µM
32	L-isoleucine                      	/compound?orgid=META&id=ILE                   	183 µM
33	L-tyrosine                        	/compound?orgid=META&id=TYR                   	170 µM
34	sulfate                           	/compound?orgid=META&id=SULFATE               	155.53 µM
35	Mg2+                              	/compound?orgid=META&id=MG%2b2                	124.05 µM
36	L-tryptophan                      	/compound?orgid=META&id=TRP                   	98 µM
37	L-methionine                      	/compound?orgid=META&id=MET                   	83.78 µM
38	adenine                           	/compound?orgid=META&id=ADENINE               	81.4 µM
